X,Y,g1,g2,g3,g4,r1,r2,r3,r4,r5,r6,a1,a2,a3,a4,f1,f2,label
239940.9766,4133324.768,0.554426,0.617498,0.999734,0.773235,5.75E-09,0.000548118,0.266808,4.44E-06,4.10E-05,1,0.000783767,0.00029389,0.0604407,0.983052,0.00018807,0,0
239940.9766,4133174.768,0.554426,0.617498,0.999734,0.773235,5.87E-09,0.000597049,0.450913,4.30E-06,0.000036344,1,0.000981315,0.000316914,0.0373808,0.998812,0.000216994,0,0
240090.9766,4133474.768,0.554426,0.617498,0.999734,0.773235,5.68E-09,0.000486872,0.266808,4.96E-06,4.89E-05,1,0.00057969,0.000229045,0.0814708,0.852593,0.000157311,0,0
240090.9766,4133324.768,0.554426,0.617498,0.999734,0.773235,5.80E-09,0.000448485,0.450913,4.80E-06,4.31E-05,1,0.000716139,0.00024608,0.049311,0.963341,0.000168364,0,0
240090.9766,4133174.768,0.554426,0.617498,0.999734,0.773235,5.92E-09,0.000486872,0.54568,4.64E-06,3.82E-05,1,0.000892977,0.000264658,0.0309627,0.983052,0.000193025,0,0
240090.9766,4133024.768,0.554426,0.617498,0.999734,0.773235,5.92E-09,0.000486872,0.54568,4.64E-06,3.82E-05,1,0.000892977,0.000264658,0.0309627,0.983052,0.000206758,0,0
240240.9766,4133474.768,0.554426,0.617498,0.999734,0.773235,5.73E-09,0.000400208,0.334109,5.38E-06,5.15E-05,1,0.000532446,0.000193418,0.0658792,0.775812,0.00014899,0,0
240240.9766,4133324.768,0.554426,0.617498,0.999734,0.773235,5.85E-09,0.000369808,0.54568,5.20E-06,4.54E-05,1,0.000655392,0.000207305,0.0404871,0.852593,0.000159222,0,0
240240.9766,4133174.768,0.554426,0.617498,0.999734,0.773235,5.97E-09,0.000400208,0.775812,5.03E-06,4.10E-05,1,0.000814007,0.000222406,0.0258007,0.911139,0.000181978,0,0
240240.9766,4133024.768,0.554426,0.617498,0.999734,0.773235,5.97E-09,0.000400208,0.775812,5.03E-06,4.10E-05,1,0.000814007,0.000222406,0.0258007,0.911139,0.00019461,0,0
240390.9766,4150874.768,0.628984,0.468252,1.02153,0.620525,1.10E-09,0.0154375,0.99979,2.45E-06,2.37E-05,0.0891221,0.334109,0.911139,0.00126315,0.379554,0.0106342,0,1
240390.9766,4150724.768,0.628984,0.468252,1.02153,0.620525,1.12E-09,0.0232488,0.99979,2.63E-06,2.64E-05,0.0536067,0.266808,0.983052,0.0013976,0.379554,0.00926869,0,1
240390.9766,4150574.768,0.628984,0.468252,1.02153,0.620525,1.13E-09,0.0361762,1,2.82E-06,0.000029611,0.0334507,0.212035,0.998812,0.00154957,0.304655,0.0070402,0,1
240390.9766,4133474.768,0.554426,0.617498,0.999734,0.773235,5.78E-09,0.000331408,0.41426,5.84E-06,5.43E-05,1,0.000489747,0.000164238,0.0536067,0.739468,0.000133535,0,0
240390.9766,4133324.768,0.554426,0.617498,0.999734,0.773235,5.90E-09,0.000307124,0.644455,5.64E-06,4.89E-05,1,0.000600722,0.000175635,0.0334507,0.822866,0.000142295,0,0
240390.9766,4133174.768,0.554426,0.617498,0.999734,0.773235,6.02E-09,0.000331408,0.852593,5.45E-06,4.31E-05,1,0.000743267,0.000187995,0.0216234,0.739468,0.000161656,0,0
240540.9766,4150874.768,0.628984,0.468252,1.02153,0.620525,1.11E-09,0.0182226,0.998812,2.52E-06,2.48E-05,0.0718846,0.192698,0.852593,0.000997506,0.220596,0.00919821,0,1
240540.9766,4150724.768,0.628984,0.468252,1.02153,0.620525,1.12E-09,0.0278055,0.99979,2.70E-06,2.77E-05,0.0438987,0.153079,0.963341,0.00109851,0.220596,0.00807703,0,1
240540.9766,4150574.768,0.628984,0.468252,1.02153,0.620525,1.14E-09,0.0438987,1,2.90E-06,3.11E-05,0.0278055,0.121952,0.983052,0.00121204,0.175138,0.006365,0,1
240540.9766,4150424.768,0.628984,0.468252,1.02153,0.620525,1.16E-09,0.0718846,1,3.12E-06,3.49E-05,0.0182226,0.0975886,0.993318,0.00133992,0.175138,0.00614005,0,1
240690.9766,4150874.768,0.628984,0.468252,1.02153,0.620525,1.11E-09,0.0216234,0.998812,2.60E-06,2.59E-05,0.0583403,0.11113,0.775812,0.000796126,0.126767,0.00997742,0,1
240690.9766,4150724.768,0.628984,0.468252,1.02153,0.620525,1.13E-09,0.0334507,0.99979,2.79E-06,2.90E-05,0.0361762,0.0891221,0.852593,0.000873001,0.126767,0.00978379,0,1
240690.9766,4150574.768,0.628984,0.468252,1.02153,0.620525,1.15E-09,0.0536067,1,2.99E-06,3.26E-05,0.0232488,0.0718846,0.911139,0.000958952,0.101355,0.00919821,0,1
240690.9766,4150424.768,0.628984,0.468252,1.02153,0.620525,1.17E-09,0.0891221,1,3.22E-06,0.000036653,0.0154375,0.0583403,0.951399,0.00105525,0.101355,0.00882363,0,1
240840.9766,4150724.768,0.628984,0.468252,1.02153,0.620525,1.13E-09,0.0334507,0.99979,2.79E-06,2.90E-05,0.0361762,0.0891221,0.852593,0.000873001,0.126767,0.011937,0,1
240840.9766,4150574.768,0.628984,0.468252,1.02153,0.620525,1.15E-09,0.0536067,1,2.99E-06,3.26E-05,0.0232488,0.0718846,0.911139,0.000958952,0.101355,0.011167,0,1
245190.9766,4128824.768,0.570792,0.551103,0.912251,0.736282,1.29E-08,0.000185802,1,0.000013907,1.16E-05,0.000208337,0.000266041,0.00025044,0.54568,0.000463928,7.37E-05,0,0
245190.9766,4128674.768,0.570792,0.551103,0.912251,0.736282,1.32E-08,0.000157974,1,1.49E-05,0.000010526,0.000176481,0.000223528,0.000210853,0.775812,0.000427684,8.49E-05,0,0
245190.9766,4128524.768,0.570792,0.551103,0.912251,0.736282,1.35E-08,0.000135,1,1.65E-05,9.60E-06,0.000150294,0.000188912,0.000178542,0.852593,0.000394785,9.13E-05,0,0
245190.9766,4128374.768,0.570792,0.551103,0.912251,0.736282,1.39E-08,0.000115921,1,1.83E-05,8.77E-06,0.000128634,0.000160533,0.000151994,0.911139,0.000364875,0.000105741,0,0
245340.9766,4128824.768,0.570792,0.551103,0.912251,0.736282,0.000000013,0.000199031,1,1.45E-05,1.20E-05,0.000194368,0.000286455,0.000269416,0.644455,0.000382052,7.18E-05,0,0
245340.9766,4128674.768,0.570792,0.551103,0.912251,0.736282,1.33E-08,0.000168848,1,1.60E-05,1.09E-05,0.000165018,0.000240069,0.000226267,0.852593,0.000353287,8.26E-05,0,0
245340.9766,4128524.768,0.570792,0.551103,0.912251,0.736282,1.37E-08,0.000143994,1,1.72E-05,9.97E-06,0.000140829,0.000202409,0.000191149,0.963341,0.000327082,8.87E-05,0,0
245340.9766,4128374.768,0.570792,0.551103,0.912251,0.736282,1.40E-08,0.000123403,1,1.91E-05,9.10E-06,0.000120772,0.00017162,0.000162373,0.983052,0.000303175,0.000102616,0,0
245490.9766,4128824.768,0.570792,0.551103,0.912251,0.736282,1.31E-08,0.000213406,1,1.60E-05,1.25E-05,0.000181507,0.000308778,0.000290144,0.739468,0.000360021,6.80E-05,0,0
245490.9766,4128674.768,0.570792,0.551103,0.912251,0.736282,1.35E-08,0.000180633,1,1.67E-05,1.14E-05,0.000154437,0.000258099,0.000243052,0.911139,0.000299287,7.80E-05,0,0
245490.9766,4128524.768,0.570792,0.551103,0.912251,0.736282,1.38E-08,0.000153717,1,1.85E-05,1.04E-05,0.00013207,0.00021708,0.00020484,0.983052,0.000272843,8.36E-05,0,0
245490.9766,4128374.768,0.570792,0.551103,0.912251,0.736282,1.41E-08,0.000131473,1,2.00E-05,9.45E-06,0.000113479,0.000199031,0.000173614,0.998812,0.000253579,9.64E-05,0,0
245640.9766,4128524.768,0.570792,0.551103,0.912251,0.736282,1.38E-08,0.000153717,1,1.85E-05,1.04E-05,0.00013207,0.00021708,0.00020484,0.983052,0.000272843,8.11E-05,0,0
245940.9766,4139324.768,0.647191,0.515329,-0.176457,0.64371,3.91E-09,0.00230379,0.00451607,0.00304824,1,0.963341,0.0361762,0.00681785,0.0454091,0.00681785,4.50E-05,0,1
245940.9766,4143974.768,0.663627,0.576261,0.868209,0.679862,2.48E-09,6.39E-05,0.00451607,0.000878796,0.951399,0.049311,0.00531394,0.0299963,0.00643671,0.334109,0.00575861,0,0
245940.9766,4143824.768,0.663627,0.576261,0.868209,0.679862,2.52E-09,7.22E-05,0.00333909,0.00110615,0.911139,0.0814708,0.0038918,0.0195483,0.00561666,0.41426,0.00483742,0,0
245940.9766,4143674.768,0.663627,0.576261,0.868209,0.679862,2.52E-09,7.22E-05,0.00333909,0.00110615,0.911139,0.0814708,0.0038918,0.0195483,0.00561666,0.41426,0.00347178,0,0
246090.9766,4139474.768,0.647191,0.515329,-0.176457,0.64371,3.87E-09,0.00270931,0.00296155,0.00465994,0.998812,0.998812,0.0718846,0.008339,0.0239641,0.008339,4.80E-05,0,1
246090.9766,4139324.768,0.647191,0.515329,-0.176457,0.64371,3.94E-09,0.00304824,0.00397645,0.00409995,0.99979,0.983052,0.0583403,0.0096624,0.0286893,0.0096624,4.49E-05,0,1
246090.9766,4139174.768,0.573309,0.581005,0.996202,0.747208,4.02E-09,0.00343923,0.0054369,0.00361861,0.99979,0.911139,0.0476494,0.011244,0.0239641,0.011244,3.93E-05,0,1
246090.9766,4144124.768,0.61411,0.498031,0.999015,0.45206,2.45E-09,6.91E-05,0.00622526,0.000878796,0.822866,0.0258007,0.00854991,0.0583403,0.00531394,0.450913,0.00807703,0,0
246090.9766,4143974.768,0.663627,0.576261,0.868209,0.679862,2.50E-09,6.67E-05,0.00451607,0.00110615,0.822866,0.0404871,0.00608075,0.0361762,0.00465994,0.54568,0.00561528,0,0
246090.9766,4143824.768,0.663627,0.576261,0.868209,0.679862,2.54E-09,7.64E-05,0.00333909,0.00122063,0.739468,0.0658792,0.00441753,0.0232488,0.00409995,0.644455,0.00472494,0,0
246090.9766,4143674.768,0.663627,0.576261,0.868209,0.679862,2.54E-09,7.64E-05,0.00333909,0.00122063,0.739468,0.0658792,0.00441753,0.0232488,0.00409995,0.644455,0.00340088,0,0
246240.9766,4139474.768,0.647191,0.515329,-0.176457,0.64371,3.90E-09,0.00361861,0.002634,0.00643671,0.983052,0.99979,0.121952,0.0096624,0.0158774,0.0096624,4.79E-05,0,1
246240.9766,4139324.768,0.647191,0.515329,-0.176457,0.64371,3.98E-09,0.00409995,0.00351221,0.00561666,0.993318,0.993318,0.0975886,0.014041,0.0187584,0.014041,4.47E-05,0,1
246240.9766,4139174.768,0.573309,0.581005,0.996202,0.747208,4.05E-09,0.00465994,0.004765,0.00491844,0.99979,0.951399,0.0583403,0.0165251,0.0158774,0.0165251,3.92E-05,0,1
246240.9766,4139024.768,0.573309,0.581005,0.996202,0.747208,4.13E-09,0.00531394,0.00659141,0.00432155,1,0.822866,0.0361762,0.0195483,0.0135068,0.0195483,3.67E-05,0,1
246240.9766,4144124.768,0.61411,0.498031,0.999015,0.45206,2.47E-09,6.54E-05,0.00622526,0.000965438,0.603523,0.0216234,0.00991392,0.0718846,0.0038918,0.54568,0.00787591,0,0
246240.9766,4143974.768,0.663627,0.576261,0.868209,0.679862,2.51E-09,7.05E-05,0.00451607,0.00122063,0.603523,0.0334507,0.00698358,0.0438987,0.00343923,0.775812,0.00549392,0,0
246240.9766,4143824.768,0.663627,0.576261,0.868209,0.679862,2.56E-09,8.09E-05,0.00333909,0.00156111,0.505554,0.0536067,0.00503052,0.0278055,0.00304824,0.852593,0.00462948,0,0
246240.9766,4143674.768,0.663627,0.576261,0.868209,0.679862,2.56E-09,8.09E-05,0.00333909,0.00156111,0.505554,0.0536067,0.00503052,0.0278055,0.00304824,0.852593,0.00334049,0,0
246390.9766,4139474.768,0.573309,0.581005,0.996202,0.747208,3.93E-09,0.00491844,0.00234891,0.00908588,0.911139,0.998812,0.212035,0.011244,0.0108335,0.011244,4.74E-05,0,1
246390.9766,4139324.768,0.573309,0.581005,0.996202,0.747208,4.01E-09,0.00561666,0.00311138,0.00785489,0.983052,0.983052,0.121952,0.0165251,0.0126497,0.0165251,0.000044331,0,1
246390.9766,4139174.768,0.573309,0.581005,0.996202,0.747208,4.09E-09,0.00643671,0.00419005,0.00681785,0.998812,0.911139,0.0718846,0.0250205,0.0108335,0.0250205,3.88E-05,0,1
246390.9766,4143824.768,0.61411,0.498031,0.999015,0.45206,2.58E-09,8.57E-05,0.00296155,0.00173487,0.304655,0.0438987,0.00574806,0.0334507,0.00230379,0.963341,0.00437118,0,0
248190.9766,4137974.768,0.573309,0.581005,0.996202,0.747208,4.95E-09,0.911139,0.010554,0.00574806,0.0309627,1,0.993318,0.983052,0.000496772,0.998812,1.68E-05,0,1
248340.9766,4138124.768,0.573309,0.581005,0.996202,0.747208,4.99E-09,0.983052,0.0123137,0.00659141,0.0201307,1,0.998812,0.993318,0.00040803,0.99979,1.90E-05,0,1
248340.9766,4137974.768,0.573309,0.581005,0.996202,0.747208,4.99E-09,0.983052,0.0123137,0.00659141,0.0201307,1,0.998812,0.993318,0.00040803,0.99979,1.74E-05,0,1
248340.9766,4137824.768,0.573309,0.581005,0.996202,0.747208,5.09E-09,0.993318,0.0182226,0.004765,0.0170021,1,0.99979,0.99979,0.000376922,1,1.67E-05,0,1
248490.9766,4138124.768,0.573309,0.581005,0.996202,0.747208,5.03E-09,0.998812,0.0144339,0.00758689,0.0135068,1,0.99979,0.983052,0.000337644,0.998812,2.04E-05,0,1
248490.9766,4137974.768,0.573309,0.581005,0.996202,0.747208,5.03E-09,0.998812,0.0144339,0.00758689,0.0135068,1,0.99979,0.983052,0.000337644,0.998812,1.87E-05,0,1
