X,Y,g1,g2,g3,g4,r1,r2,r3,r4,r5,r6,a1,a2,a3,a4,f1,f2,label
248490.9766,4137824.768,0.573309,0.581005,0.996202,0.747208,5.13E-09,0.99979,0.0216234,0.0054369,0.0115454,1,1,0.998812,0.000312814,0.99979,1.79E-05,0,1
248490.9766,4137674.768,0.573309,0.581005,0.996202,0.747208,5.24E-09,0.998812,0.0334507,0.00397645,0.00991392,1,1,0.99979,0.000290144,0.99979,1.64E-05,0,1
248640.9766,4138124.768,0.573309,0.581005,0.996202,0.747208,5.07E-09,0.99979,0.0170021,0.00876721,0.00931956,1,0.998812,0.983052,0.000281334,0.993318,2.12E-05,0,1
248640.9766,4137974.768,0.573309,0.581005,0.996202,0.747208,5.07E-09,0.99979,0.0170021,0.00876721,0.00931956,1,0.998812,0.983052,0.000281334,0.993318,1.94E-05,0,1
248640.9766,4137824.768,0.573309,0.581005,0.996202,0.747208,5.18E-09,1,0.0258007,0.00622526,0.00805124,0.99979,0.99979,0.993318,0.000261354,0.99979,1.85E-05,0,1
248640.9766,4117874.768,0.514763,0.567097,0.68688,0.818235,6.75E-08,0.00014466,0.000337644,0.983052,2.42E-06,1,0.000120772,0.0195483,0.0891221,0.000444831,8.44E-05,0,0
248640.9766,4117724.768,0.514763,0.567097,0.68688,0.818235,6.85E-08,0.000162373,0.00040803,0.911139,2.59E-06,1,0.000104047,0.0299963,0.153079,0.00039702,8.37E-05,0,0
248640.9766,4117574.768,0.514763,0.567097,0.68688,0.818235,6.85E-08,0.000162373,0.00040803,0.911139,2.59E-06,1,0.000104047,0.0299963,0.153079,0.00039702,8.22E-05,0,0
248790.9766,4117874.768,0.514763,0.567097,0.68688,0.818235,6.99E-08,0.000130044,0.000331408,0.993318,2.49E-06,1,0.000128634,0.0232488,0.11113,0.000366909,7.26E-05,0,0
248790.9766,4117724.768,0.514763,0.567097,0.68688,0.818235,7.09E-08,0.000151994,0.000376922,0.951399,2.67E-06,1,0.000110614,0.0361762,0.192698,0.000339497,7.21E-05,0,0
248790.9766,4117574.768,0.514763,0.567097,0.68688,0.818235,7.09E-08,0.000151994,0.000376922,0.951399,2.67E-06,1,0.000110614,0.0361762,0.192698,0.000339497,7.08E-05,0,0
248940.9766,4117874.768,0.514763,0.567097,0.68688,0.818235,6.99E-08,0.000130044,0.000331408,0.993318,2.49E-06,1,0.000128634,0.0232488,0.11113,0.000366909,6.75E-05,0,0
248940.9766,4117724.768,0.514763,0.567097,0.68688,0.818235,7.09E-08,0.000151994,0.000376922,0.951399,2.67E-06,1,0.000110614,0.0361762,0.192698,0.000339497,6.70E-05,0,0
248940.9766,4117574.768,0.514763,0.567097,0.68688,0.818235,7.09E-08,0.000151994,0.000376922,0.951399,2.67E-06,1,0.000110614,0.0361762,0.192698,0.000339497,6.59E-05,0,0
249090.9766,4117724.768,0.514763,0.567097,0.68688,0.818235,7.33E-08,0.000142401,0.000348617,0.951399,2.75E-06,1,0.000117685,0.0438987,0.242666,0.000282822,5.80E-05,0,0
251340.9766,4129274.768,0.456692,0.50028,1.86414,0.819693,1.72E-08,0.000186706,1,5.51E-05,5.55E-06,0.00017162,0.993318,0.000743267,0.963341,0.000826942,9.02E-06,0,0
251340.9766,4129124.768,0.456692,0.50028,1.86414,0.819693,1.77E-08,0.000158718,1,6.28E-05,5.12E-06,0.000160533,0.951399,0.000679774,0.852593,0.000679774,8.77E-06,0,0
251340.9766,4128974.768,0.456692,0.50028,1.86414,0.819693,1.77E-08,0.000158718,1,6.28E-05,5.12E-06,0.000160533,0.951399,0.000679774,0.852593,0.000679774,8.29E-06,0,0
251340.9766,4128824.768,0.456692,0.50028,1.86414,0.819693,1.82E-08,0.000135616,1,7.19E-05,4.72E-06,0.000150294,0.822866,0.000622677,0.644455,0.000622677,8.06E-06,0,0
251490.9766,4129274.768,0.456692,0.50028,1.86414,0.819693,1.74E-08,0.000200013,1,5.82E-05,5.36E-06,0.000202409,0.993318,0.00092836,0.911139,0.00092836,9.78E-06,0,0
251490.9766,4129124.768,0.456692,0.50028,1.86414,0.819693,1.79E-08,0.000169654,1,6.64E-05,4.95E-06,0.000188912,0.951399,0.000845658,0.775812,0.000845658,9.51E-06,0,0
251490.9766,4128974.768,0.456692,0.50028,1.86414,0.819693,1.79E-08,0.000169654,1,6.64E-05,4.95E-06,0.000188912,0.951399,0.000845658,0.775812,0.000845658,8.97E-06,0,0
251490.9766,4128824.768,0.456692,0.50028,1.86414,0.819693,1.83E-08,0.00014466,1,7.61E-05,4.57E-06,0.000176481,0.822866,0.000771636,0.644455,0.000771636,8.71E-06,0,0
251640.9766,4129274.768,0.456692,0.50028,1.86414,0.819693,1.76E-08,0.000214474,1,6.14E-05,5.19E-06,0.000240069,0.993318,0.00117156,0.951399,0.00117156,1.02E-05,0,0
251640.9766,4129124.768,0.525542,0.49101,0.96604,0.65479,1.81E-08,0.000181507,1,7.02E-05,4.79E-06,0.000223528,0.951399,0.00106253,0.822866,0.00106253,9.90E-06,0,0
251640.9766,4128974.768,0.525542,0.49101,0.96604,0.65479,1.81E-08,0.000181507,1,7.02E-05,4.79E-06,0.000223528,0.951399,0.00106253,0.822866,0.00106253,9.33E-06,0,0
251640.9766,4128824.768,0.525542,0.49101,0.96604,0.65479,1.85E-08,0.000154437,1,8.06E-05,4.43E-06,0.000208337,0.852593,0.000965438,0.852593,0.000965438,9.06E-06,0,0
251790.9766,4129124.768,0.525542,0.49101,0.96604,0.65479,1.83E-08,0.000194368,1,7.43E-05,4.63E-06,0.000266041,0.951399,0.00134961,0.951399,0.00134961,1.07E-05,0,0
251790.9766,4128974.768,0.525542,0.49101,0.96604,0.65479,1.83E-08,0.000194368,1,7.43E-05,4.63E-06,0.000266041,0.951399,0.00134961,0.951399,0.00134961,1.01E-05,0,0
252090.9766,4121324.768,0.490904,0.542477,1.20019,0.85151,6.45E-08,6.80E-06,0.0170021,1,2.81E-06,0.450913,0.175138,0.010554,0.951399,0.000303175,2.48E-05,0,1
252090.9766,4121174.768,0.490904,0.542477,1.20019,0.85151,6.68E-08,7.24E-06,0.0115454,1,2.89E-06,0.266808,0.101355,0.00908588,0.993318,0.000281334,0.000024279,0,1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
